Rank,brandImgSrc,brandName,targetAge,concept
1위,https://img.sta1.com/_up/brnd/img/2018/01/1516080494643_130*130.jpg,나이키,"10대,20대,30대",스포츠
2위,https://img.sta1.com/_up/brnd/img/2018/01/1516080745895_130*130.jpg,루이비통,"20대,30대","컨템포러리·명품,슈즈,가방"
3위,https://img.sta1.com/_up/brnd/img/2018/01/1516080459989_130*130.jpg,구찌,"20대,30대","컨템포러리·명품,슈즈,가방"
4위,https://img.sta1.com/_up/brnd/img/2018/01/1516080627134_130*130.jpg,아디다스,"10대,20대,30대",스포츠
5위,https://img.sta1.com/_up/brand/2019/10/30/1572415179983-f.jpg,자라,"10대,20대,30대",SPA
6위,https://img.sta1.com/_up/brand/2019/10/29/1572329474663-f.jpg,뉴발란스,"10대,20대,30대",스포츠
7위,https://img.sta1.com/_up/brnd/img/2018/01/1516234978453_130*130.jpg,배럴,"10대,20대,30대",스포츠
8위,https://img.sta1.com/_up/brnd/img/2018/01/1516080685926_130*130.jpg,유니클로,"10대,20대,30대",SPA
9위,https://img.sta1.com/_up/brnd/img/2018/01/1516085319253_130*130.jpg,크록스,"10대,20대,30대",슈즈
10위,https://img.sta1.com/_up/brnd/img/2018/01/1516149458025_130*130.jpg,컨버스,"10대,20대,30대",스포츠
11위,https://img.sta1.com/_up/brnd/img/2018/01/1516080493612_130*130.jpg,샤넬,"20대,30대","컨템포러리·명품,슈즈,가방"
12위,https://img.sta1.com/_up/brnd/img/2018/01/1516755663517_130*130.jpg,에이치엔엠,"10대,20대,30대",SPA
13위,https://img.sta1.com/_up/brnd/img/2018/10/1539248602113_n1.jpg,폴로랄프로렌,"10대,20대,30대","캐주얼,트래디셔널"
14위,https://img.sta1.com/_up/brnd/img/2018/01/1516080645394_130*130.jpg,안다르,"10대,20대,30대","스포츠,피트니스"
15위,https://img.sta1.com/_up/brnd/img/2018/01/1516080450088_130*130.jpg,반스,"10대,20대,30대","스트릿·도매스틱,캐주얼"
16위,https://img.sta1.com/_up/brnd/img/2018/01/1516085531105_130*130.jpg,휠라,"10대,20대,30대",스포츠
17위,https://img.sta1.com/_up/brnd/img/2018/01/1516085288376_130*130.jpg,코스,"10대,20대,30대",SPA
18위,https://img.sta1.com/_up/brnd/img/2018/01/1516581755990_130*130.jpg,메종마르지엘라,"20대,30대","컨템포러리·명품,슈즈"
19위,https://img.sta1.com/_up/brnd/img/2018/01/1516234836604_130*130.jpg,더블유브이프로젝트,"10대,20대","스트릿·도매스틱,캐주얼"
20위,https://img.sta1.com/_up/brand/2019/10/30/1572416297406-f.jpg,디스커버리익스페디션,"10대,20대,30대","스포츠,골프·아웃도어"
21위,https://img.sta1.com/_up/brnd/img/2018/01/1516149505804_130*130.jpg,크리스찬디올,"20대,30대","컨템포러리·명품,슈즈,가방"
22위,https://img.sta1.com/_up/brnd/img/2018/01/1516080654910_130*130.jpg,언더아머,"10대,20대,30대","스포츠,골프·아웃도어"
23위,https://img.sta1.com/_up/brnd/img/2018/01/1516085399986_130*130.jpg,파타고니아,"10대,20대,30대","스포츠,골프·아웃도어"
24위,https://img.sta1.com/_up/brand/2019/10/30/1572416330622-f.jpg,스파오,"10대,20대,30대",SPA
25위,https://img.sta1.com/_up/brnd/img/2018/01/1516085507807_130*130.jpg,프라다,"20대,30대","컨템포러리·명품,슈즈,가방"
26위,https://img.sta1.com/_up/brnd/img/2018/01/1516080460397_130*130.jpg,발렌시아가,"20대,30대","컨템포러리·명품,슈즈,가방"
27위,https://img.sta1.com/_up/brnd/img/2018/01/1516080694272_130*130.jpg,라코스테,"10대,20대,30대","트래디셔널,골프·아웃도어"
28위,https://img.sta1.com/_up/brnd/img/2018/01/1516149549479_130*130.jpg,티파니앤코,"20대,30대","컨템포러리·명품,ACC·잡화"
29위,https://img.sta1.com/_up/brnd/img/2019/02/1549867236053_n1.jpg,스톤아일랜드,"20대,30대",컨템포러리·명품
