Rank,shopImgSrc,shopName,targetAge,concept
HOT,https://img.sta1.com/_up/store/2019/12/20/1576816937393.jpg,로댄티,"10대,20대",트랜드·캐쥬얼
HOT,https://img.sta1.com/_up/store/2020/05/04/1588564044799.jpg,컨슬핏,20대,댄디·심플
HOT,https://img.sta1.com/_up/shop/logo/2019/07/1562650322639_mi.jpg,제이브로스,"20대,30대",트랜드·캐쥬얼
HOT,https://img.sta1.com/_up/store/2020/05/04/1588564130059.jpg,꼰스,"10대,20대",유니크·빈티지
HOT,https://img.sta1.com/_up/store/2020/05/04/1588564209941.jpg,후쿠부쿠로,"20대,30대",유니크·빈티지
HOT,https://img.sta1.com/_up/shop/logo/2019/04/1554190763378_mi.jpg,바이모노,"20대,30대",빅사이즈
HOT,https://img.sta1.com/_up/shop/logo/2017/06/1498809330048_mi.jpg,애즈클로,"10대,20대",트랜드·캐쥬얼
HOT,https://img.sta1.com/_up/store/2020/05/08/1588909986071.jpg,블랑토,"10대,20대,30대",댄디·심플
HOT,https://img.sta1.com/_up/store/2020/05/11/1589178807578.jpg,밸류,"20대,30대",댄디·심플
1위,https://img.sta1.com/_up/shop/logo/2017/06/1498809134396_mi.jpg,롸킥스,"20대,30대",스트릿·도매스틱
2위,https://img.sta1.com/_up/store/2020/01/23/1579749461044.jpg,오까네,"20대,30대",빅사이즈
3위,https://img.sta1.com/_up/shop/logo/2019/05/1557890203309_mi.jpg,훈스,"20대,30대",트랜드·캐쥬얼
4위,https://img.sta1.com/_up/shop/logo/2017/06/1498809422400_mi.jpg,조군샵,"20대,30대",트랜드·캐쥬얼
5위,https://img.sta1.com/_up/shop/logo/2017/06/1498809032645_mi.jpg,더니트컴퍼니,"20대,30대",스트릿·도매스틱
6위,https://img.sta1.com/_up/shop/logo/2017/06/1498808968780_mi.jpg,4XR,"20대,30대",빅사이즈
7위,https://img.sta1.com/_up/store/2019/12/10/1575969018587.jpg,미스터스트릿,"20대,30대",트랜드·캐쥬얼
8위,https://img.sta1.com/_up/shop/logo/2019/07/1562653695760_mi.jpg,고피플,"10대,20대",트랜드·캐쥬얼
9위,https://img.sta1.com/_up/store/2020/02/17/1581914818894.jpg,슈퍼스타아이,"20대,30대",트랜드·캐쥬얼
10위,https://img.sta1.com/_up/shop/logo/2019/04/1554190763378_mi.jpg,바이모노,"20대,30대",빅사이즈
11위,https://img.sta1.com/_up/shop/logo/2017/06/1498809481452_mi.jpg,키작은남자,10대,트랜드·캐쥬얼
12위,https://img.sta1.com/_up/shop/logo/2019/04/1554190787484_mi.jpg,맨인스토어,"10대,20대",트랜드·캐쥬얼
13위,https://img.sta1.com/_up/shop/logo/2019/07/1562653681760_mi.jpg,모던이프,20대,댄디·심플
14위,https://img.sta1.com/_up/shop/logo/2019/04/1554190601788_mi.jpg,하이파이펑크,20대,유니크·빈티지
15위,https://img.sta1.com/_up/shop/logo/2019/02/1551162469794_mi.jpg,락커룸,"20대,30대",댄디·심플
16위,https://img.sta1.com/_up/shop/logo/2019/04/1554190719801_mi.jpg,바이슬림,"10대,20대",트랜드·캐쥬얼
17위,https://img.sta1.com/_up/shop/logo/2017/06/1498809091975_mi.jpg,라우코하우스,20대,유니크·빈티지
18위,https://img.sta1.com/_up/shop/logo/2019/04/1554190688086_mi.jpg,유루이,"10대,20대",트랜드·캐쥬얼
19위,https://img.sta1.com/_up/shop/logo/2017/06/1498809330048_mi.jpg,애즈클로,"10대,20대",트랜드·캐쥬얼
20위,https://img.sta1.com/_up/shop/logo/2019/07/1562653734489_mi.jpg,자뎅,"20대,30대",댄디·심플
21위,https://img.sta1.com/_up/store/2020/01/28/1580183356622.jpg,시도,"10대,20대",트랜드·캐쥬얼
22위,https://img.sta1.com/_up/shop/logo/2019/06/1560754266037_mi.jpg,청년옷장,20대,트랜드·캐쥬얼
23위,https://img.sta1.com/_up/shop/logo/2018/09/1537502255633_mi.jpg,엘옴므,"10대,20대",트랜드·캐쥬얼
24위,https://img.sta1.com/_up/shop/logo/2018/09/1537500841476_mi.jpg,아보키,"10대,20대",트랜드·캐쥬얼
25위,https://img.sta1.com/_up/shop/logo/2019/07/1562653555269_mi.jpg,플라이데이,"10대,20대",댄디·심플
26위,https://img.sta1.com/_up/shop/logo/2018/05/1525759319999_mi.jpg,룩앤핏,"10대,20대",트랜드·캐쥬얼
27위,https://img.sta1.com/_up/shop/logo/2019/07/1562653567944_mi.jpg,토모나리,"10대,20대",트랜드·캐쥬얼
28위,https://img.sta1.com/_up/shop/logo/2018/11/1542791028908_mi.jpg,바이더알,"20대,30대",유니크·빈티지
29위,https://img.sta1.com/_up/shop/logo/2017/06/1498809154637_mi.jpg,멋남,"20대,30대",댄디·심플
30위,https://img.sta1.com/_up/shop/logo/2019/07/1562653615819_mi.jpg,윌스토어,"20대,30대",트랜드·캐쥬얼
31위,https://img.sta1.com/_up/shop/logo/2018/09/1537519825931_mi.jpg,브랜디드,"20대,30대",스트릿·도매스틱
32위,https://img.sta1.com/_up/shop/logo/2019/07/1562653665082_mi.jpg,독보남,"10대,20대",트랜드·캐쥬얼
33위,https://img.sta1.com/_up/shop/logo/2019/03/1553828176620_mi.jpg,섹시수트,"20대,30대",클래식·수트
34위,https://img.sta1.com/_up/shop/logo/2019/07/1562650322639_mi.jpg,제이브로스,"20대,30대",트랜드·캐쥬얼
35위,https://img.sta1.com/_up/shop/logo/2017/06/1498123528571_mi.jpg,페어플레이,"10대,20대",스트릿·도매스틱
36위,https://img.sta1.com/_up/shop/logo/2018/06/1528353080122_mi.jpg,엘가노벰버,"20대,30대",클래식·수트
37위,https://img.sta1.com/_up/shop/logo/2018/09/1537511660934_mi.jpg,파탈앤트,"20대,30대",클래식·수트
38위,https://img.sta1.com/_up/shop/logo/2019/04/1554706062690_mi.jpg,붐스타일,"10대,20대",트랜드·캐쥬얼
39위,https://img.sta1.com/_up/shop/logo/2019/07/1562653601010_mi.jpg,유로옴므,"20대,30대",클래식·수트
40위,https://img.sta1.com/_up/shop/logo/2019/04/1554271861297_mi.jpg,스나이퍼샵,"10대,20대",트랜드·캐쥬얼
41위,https://img.sta1.com/_up/shop/logo/2019/04/1554271630974_mi.jpg,자비노,"20대,30대",댄디·심플
